,Time,BUT,DMA
456,4.57e-10,1.9392653654494725e-15,1.2476788473440532e-15
457,4.58e-10,1.9167211495070052e-15,1.2776667468355073e-15
458,4.59e-10,1.9165149493179887e-15,1.2301288312396939e-15
459,4.6e-10,1.8993676769948174e-15,1.2467490321048751e-15
460,4.61e-10,1.9248052584674873e-15,1.2317988885098082e-15
461,4.6200000000000006e-10,1.938303027327293e-15,1.2936112288387974e-15
462,4.6300000000000006e-10,1.9468799777828155e-15,1.2624320737413447e-15
463,4.6400000000000005e-10,1.9374668168095472e-15,1.269506058317129e-15
464,4.6500000000000005e-10,1.898555327098221e-15,1.256535905945662e-15
465,4.66e-10,1.9003868582910325e-15,1.272612260251202e-15
466,4.67e-10,1.9929817874836343e-15,1.2588107132333524e-15
467,4.68e-10,1.979187961908529e-15,1.3055965773749817e-15
468,4.69e-10,2.003508232287834e-15,1.2834174849231806e-15
469,4.7e-10,1.90276351357099e-15,1.2888912870635494e-15
470,4.71e-10,1.938203332126504e-15,1.2876063584661277e-15
471,4.72e-10,1.9219241180964427e-15,1.2954499156293676e-15
472,4.73e-10,2.0116107359922717e-15,1.3140270723229517e-15
473,4.74e-10,1.9249396808076572e-15,1.304105774719152e-15
474,4.75e-10,1.900837802084387e-15,1.2507071216036433e-15
475,4.76e-10,1.8844638619924946e-15,1.266294686553856e-15
476,4.77e-10,2.019942528088331e-15,1.2786901084150292e-15
477,4.78e-10,2.0098975422973166e-15,1.3039531164022413e-15
478,4.79e-10,1.9965655876950597e-15,1.256781611877989e-15
479,4.8e-10,1.968930669030913e-15,1.281414894476852e-15
480,4.81e-10,1.9571669683848956e-15,1.3277973630571195e-15
481,4.82e-10,1.929943359102926e-15,1.3109817989372331e-15
482,4.83e-10,1.9728627360477633e-15,1.3182861496662502e-15
483,4.840000000000001e-10,2.098435988776142e-15,1.3364902710852733e-15
484,4.850000000000001e-10,2.0895009906504607e-15,1.3419412428057063e-15
485,4.860000000000001e-10,1.959835003093284e-15,1.346329617563352e-15
486,4.870000000000001e-10,2.0109412335895795e-15,1.3395887066624094e-15
487,4.880000000000001e-10,1.9970240013849312e-15,1.362419957554872e-15
488,4.890000000000001e-10,2.016386906681049e-15,1.3647651122328875e-15
489,4.900000000000001e-10,1.9859966817389198e-15,1.3798089093261042e-15
490,4.910000000000001e-10,2.068586806566974e-15,1.409175537327619e-15
491,4.920000000000001e-10,2.0954214041815175e-15,1.391101062157292e-15
492,4.930000000000001e-10,2.099136931670674e-15,1.395040403864774e-15
493,4.940000000000001e-10,1.9948940890266056e-15,1.3680949893377304e-15
494,4.95e-10,2.0984940684122363e-15,1.382639340583748e-15
495,4.96e-10,2.0090835529886757e-15,1.3829055837116862e-15
496,4.97e-10,1.976194033527662e-15,1.3734067951620158e-15
