,Time,BUT,OCM
363,3.6400000000000004e-10,1.480976806634446e-16,7.51591956595565e-17
364,3.6500000000000003e-10,1.5871247715471126e-16,7.709398601828634e-17
365,3.6600000000000003e-10,1.5229493198485766e-16,8.122853554923399e-17
366,3.67e-10,1.5270636962676075e-16,7.843788047520945e-17
367,3.68e-10,1.5787190317774777e-16,7.847252738369354e-17
368,3.69e-10,1.543209505495624e-16,7.927097566490146e-17
369,3.7e-10,1.5755631883421974e-16,7.864261679041809e-17
370,3.71e-10,1.537521055443436e-16,8.119760127627484e-17
371,3.72e-10,1.57539062458473e-16,8.026928838585452e-17
372,3.73e-10,1.597857380601917e-16,7.805978893427385e-17
373,3.7400000000000005e-10,1.6901199724920896e-16,8.173261237851772e-17
374,3.7500000000000005e-10,1.5864871735906278e-16,7.984869271438059e-17
375,3.7600000000000005e-10,1.5789317783535927e-16,7.965788071699014e-17
376,3.7700000000000004e-10,1.5770826804742652e-16,7.880680969156122e-17
377,3.7800000000000004e-10,1.5404657803820887e-16,7.851412161571196e-17
378,3.7900000000000004e-10,1.5857544971313148e-16,7.981119741552319e-17
379,3.8000000000000003e-10,1.5494413495701024e-16,8.290393908782048e-17
380,3.8100000000000003e-10,1.5127439766322892e-16,7.684673709655127e-17
381,3.82e-10,1.5633130115468848e-16,7.795308505571285e-17
382,3.83e-10,1.6913602473817628e-16,7.864374431438372e-17
383,3.84e-10,1.6704877009400973e-16,8.241545627001403e-17
384,3.85e-10,1.605546550402396e-16,8.108476720988985e-17
385,3.86e-10,1.640977030555721e-16,7.949213749594938e-17
386,3.87e-10,1.6133527017441124e-16,7.860712814893708e-17
387,3.88e-10,1.6167206159242822e-16,8.431267946215279e-17
388,3.8900000000000005e-10,1.5607008725000103e-16,8.203273939984447e-17
389,3.9000000000000005e-10,1.6317903762009574e-16,7.92624482036367e-17
390,3.9100000000000005e-10,1.6169845137718018e-16,8.163423138504517e-17
391,3.9200000000000004e-10,1.6015065470093739e-16,7.952896231838797e-17
392,3.9300000000000004e-10,1.611100671620057e-16,8.102246798940298e-17
393,3.9400000000000004e-10,1.5487551060112003e-16,7.731866491494307e-17
394,3.9500000000000003e-10,1.6106868605101212e-16,7.821807921535917e-17
395,3.9600000000000003e-10,1.6481395962634742e-16,8.134501726846994e-17
396,3.97e-10,1.6232563569039786e-16,7.930964297446325e-17
397,3.98e-10,1.6467206123877253e-16,8.213458739865538e-17
398,3.99e-10,1.6363363046377687e-16,7.913585951881256e-17
399,4e-10,1.6077406945659943e-16,7.932347248860731e-17
400,4.01e-10,1.6000999155194826e-16,8.08218649419249e-17
401,4.02e-10,1.6014147199098881e-16,8.023332493242847e-17
402,4.0300000000000006e-10,1.6384337151422275e-16,7.84429244455666e-17
403,4.0400000000000005e-10,1.548152639855665e-16,8.112175205955363e-17
404,4.0500000000000005e-10,1.5596679592340804e-16,8.118015837256928e-17
405,4.0600000000000005e-10,1.5574744272110044e-16,7.741027090975448e-17
406,4.0700000000000004e-10,1.6687698561778184e-16,8.103746759047312e-17
407,4.0800000000000004e-10,1.6452673221000855e-16,8.121819434091464e-17
408,4.0900000000000004e-10,1.5732519428257793e-16,7.861187829482392e-17
409,4.1000000000000003e-10,1.5407309562526192e-16,7.957596403358948e-17
410,4.1100000000000003e-10,1.6796203711465547e-16,7.936243589350418e-17
411,4.12e-10,1.6666486750322868e-16,8.471830598087157e-17
412,4.13e-10,1.6566880224213077e-16,8.29427082965724e-17
413,4.14e-10,1.6195870184334687e-16,8.176676654618358e-17
414,4.15e-10,1.6877165613434215e-16,8.187876791205955e-17
415,4.16e-10,1.6368632044153943e-16,8.245705106119614e-17
416,4.17e-10,1.6991298045400177e-16,8.379217119206705e-17
417,4.1800000000000006e-10,1.6632706783539074e-16,8.358974105318589e-17
418,4.1900000000000005e-10,1.7148059459442984e-16,8.46185971856896e-17
419,4.2000000000000005e-10,1.846207663721982e-16,8.257445431219505e-17
420,4.2100000000000005e-10,1.7637563312869664e-16,8.077763721288876e-17
421,4.2200000000000004e-10,1.789266093870234e-16,8.629930851154378e-17
422,4.2300000000000004e-10,1.7558185106129054e-16,8.35027192069804e-17
423,4.2400000000000004e-10,1.773009884521385e-16,8.39260367428596e-17
424,4.2500000000000003e-10,1.772402877758352e-16,8.70248534801301e-17
425,4.2600000000000003e-10,1.755292173399363e-16,8.442546656067894e-17
426,4.27e-10,1.7372693850923292e-16,8.39913161635923e-17
427,4.28e-10,1.762456476180781e-16,8.303863998549345e-17
428,4.29e-10,1.8401027427009297e-16,8.076761021211952e-17
429,4.3e-10,1.735873850734522e-16,7.919958157466329e-17
430,4.31e-10,1.779925393235454e-16,7.96844636109054e-17
431,4.3200000000000006e-10,1.8344852928450434e-16,8.291186498323494e-17
432,4.3300000000000006e-10,1.8671546316322333e-16,8.275102081577245e-17
433,4.3400000000000005e-10,1.7619584275201184e-16,8.260499638858112e-17
434,4.3500000000000005e-10,1.764990401691855e-16,8.098064029541804e-17
435,4.3600000000000005e-10,1.9095360488305225e-16,8.425433525993389e-17
436,4.3700000000000004e-10,1.862010780779273e-16,8.448039636799848e-17
437,4.3800000000000004e-10,1.7984643717175555e-16,8.383757473162006e-17
438,4.3900000000000003e-10,1.8103099805435824e-16,8.4092959697347e-17
439,4.4000000000000003e-10,1.7817087469225504e-16,8.6980057987237e-17
440,4.4100000000000003e-10,1.7515120962651718e-16,8.256498906057612e-17
441,4.42e-10,1.8038545396431198e-16,8.569116534052677e-17
442,4.43e-10,1.7814408051964023e-16,8.135905426901017e-17
443,4.44e-10,1.86159886690772e-16,8.206062484495154e-17
444,4.45e-10,1.8199407628645398e-16,8.351099048712212e-17
445,4.46e-10,1.7682879640543168e-16,8.445907004252533e-17
446,4.4700000000000006e-10,1.7362100223620688e-16,8.286415533501384e-17
447,4.4800000000000006e-10,1.6916974351684555e-16,8.227089156453194e-17
448,4.4900000000000005e-10,1.6949227475838352e-16,8.222800559807292e-17
449,4.5000000000000005e-10,1.7036674235829193e-16,8.548295023864013e-17
450,4.5100000000000005e-10,1.6656259749675294e-16,7.997018190308609e-17
451,4.5200000000000004e-10,1.803177780785055e-16,8.241622294978886e-17
452,4.5300000000000004e-10,1.7465364915416578e-16,8.523642744102817e-17
453,4.5400000000000003e-10,1.7085693310068067e-16,8.822955648110756e-17
454,4.5500000000000003e-10,1.7937881875831e-16,8.164257124925345e-17
455,4.5600000000000003e-10,1.7760969909446195e-16,8.08940402350445e-17
456,4.57e-10,1.7803360844996434e-16,8.293194549692205e-17
457,4.58e-10,1.8158988913875191e-16,8.351097037795528e-17
458,4.59e-10,1.7373617749342128e-16,8.043700103466282e-17
459,4.6e-10,1.7913649080704593e-16,8.453009740997577e-17
460,4.61e-10,1.759927070030096e-16,8.469747270790391e-17
461,4.6200000000000006e-10,1.7900750908713546e-16,8.211969397428529e-17
462,4.6300000000000006e-10,1.7978532643603553e-16,8.100209735148995e-17
463,4.6400000000000005e-10,1.7511375312104329e-16,8.257623153360405e-17
464,4.6500000000000005e-10,1.722402808834386e-16,8.035307432213344e-17
465,4.66e-10,1.7745656630767e-16,8.248236102872431e-17
466,4.67e-10,1.8367581263299021e-16,8.454074387123608e-17
