,Time,DMA
593,5.94e-10,1.780963441388094e-15
594,5.95e-10,1.7315980295505131e-15
595,5.96e-10,1.7348766211959267e-15
596,5.97e-10,1.7277964414794424e-15
597,5.98e-10,1.7021831020975078e-15
598,5.99e-10,1.7220593500630088e-15
599,6e-10,1.7344491279511874e-15
600,6.010000000000001e-10,1.7398982479611358e-15
601,6.020000000000001e-10,1.6822686727867137e-15
602,6.030000000000001e-10,1.7300843861429162e-15
603,6.040000000000001e-10,1.7039637092499044e-15
604,6.050000000000001e-10,1.7000281679060067e-15
605,6.060000000000001e-10,1.6734860701094495e-15
606,6.070000000000001e-10,1.6966584887304845e-15
607,6.080000000000001e-10,1.7047413497636984e-15
608,6.090000000000001e-10,1.726894799853822e-15
609,6.100000000000001e-10,1.7288899930929092e-15
610,6.110000000000001e-10,1.694678638649163e-15
611,6.120000000000001e-10,1.7277607872727985e-15
612,6.130000000000001e-10,1.7224481832921394e-15
613,6.14e-10,1.6651546161896837e-15
614,6.15e-10,1.7423184724737904e-15
615,6.16e-10,1.7410889053300425e-15
616,6.17e-10,1.712142857820973e-15
617,6.18e-10,1.7400778417526705e-15
618,6.19e-10,1.759177262953065e-15
619,6.2e-10,1.7440995929082891e-15
620,6.21e-10,1.7313971549637377e-15
621,6.22e-10,1.6470881228769501e-15
622,6.23e-10,1.7414069558735487e-15
623,6.24e-10,1.7205160077348371e-15
624,6.25e-10,1.7627743561606223e-15
625,6.26e-10,1.7575278818314208e-15
626,6.27e-10,1.7581496336630845e-15
627,6.28e-10,1.7333912776977693e-15
628,6.29e-10,1.7514763369143576e-15
629,6.300000000000001e-10,1.7795092078138563e-15
630,6.310000000000001e-10,1.761154318862115e-15
631,6.320000000000001e-10,1.7325899992524494e-15
632,6.330000000000001e-10,1.7457887371554724e-15
633,6.340000000000001e-10,1.750102502568018e-15
634,6.350000000000001e-10,1.7541502622737266e-15
635,6.360000000000001e-10,1.7541126150391341e-15
636,6.370000000000001e-10,1.7526248537315466e-15
637,6.380000000000001e-10,1.7462928439256571e-15
638,6.390000000000001e-10,1.7659129413317573e-15
639,6.400000000000001e-10,1.7389869589451173e-15
640,6.410000000000001e-10,1.772602202591129e-15
641,6.420000000000001e-10,1.7612834152928296e-15
642,6.430000000000001e-10,1.8043073464515636e-15
643,6.44e-10,1.7747615419518758e-15
644,6.45e-10,1.7487145115410366e-15
645,6.46e-10,1.7841715008447857e-15
646,6.47e-10,1.7730179121305995e-15
647,6.48e-10,1.7341555501436417e-15
648,6.49e-10,1.76477807957908e-15
649,6.5e-10,1.7987044532197482e-15
650,6.51e-10,1.7897833790913942e-15
651,6.52e-10,1.7639200680195535e-15
652,6.53e-10,1.746225693111193e-15
653,6.54e-10,1.7464337858901609e-15
654,6.55e-10,1.811188853551495e-15
655,6.56e-10,1.7900310045741155e-15
656,6.57e-10,1.809329195169757e-15
657,6.58e-10,1.849380814819332e-15
658,6.590000000000001e-10,1.837270854192574e-15
659,6.600000000000001e-10,1.8860893385921964e-15
660,6.610000000000001e-10,1.8526002975692684e-15
661,6.620000000000001e-10,1.798237829892452e-15
662,6.630000000000001e-10,1.78271874628436e-15
663,6.640000000000001e-10,1.8190302597465274e-15
664,6.650000000000001e-10,1.789037154431674e-15
665,6.660000000000001e-10,1.863575292879768e-15
666,6.670000000000001e-10,1.802117480736481e-15
667,6.680000000000001e-10,1.8256378214325736e-15
668,6.690000000000001e-10,1.8197487115596935e-15
669,6.700000000000001e-10,1.82081713956649e-15
670,6.710000000000001e-10,1.8105340228311203e-15
671,6.720000000000001e-10,1.8200666177113783e-15
672,6.730000000000001e-10,1.8360988020879565e-15
673,6.74e-10,1.8341992337010244e-15
674,6.75e-10,1.745409516385105e-15
675,6.76e-10,1.7883437195241488e-15
676,6.77e-10,1.7640842496210463e-15
677,6.78e-10,1.7729226153640253e-15
678,6.79e-10,1.863640647011233e-15
679,6.8e-10,1.7771929993216335e-15
680,6.81e-10,1.827140258756654e-15
681,6.82e-10,1.7754833056963001e-15
682,6.83e-10,1.7611224034671151e-15
683,6.84e-10,1.8183554111826037e-15
684,6.85e-10,1.797733966314289e-15
685,6.86e-10,1.779600721360096e-15
686,6.87e-10,1.7835061844415685e-15
687,6.88e-10,1.8046715424462793e-15
688,6.890000000000001e-10,1.7652759086438995e-15
689,6.900000000000001e-10,1.799231670394244e-15
690,6.910000000000001e-10,1.803222062119622e-15
691,6.920000000000001e-10,1.799018383892709e-15
692,6.930000000000001e-10,1.7693771166460104e-15
693,6.940000000000001e-10,1.8566798446848572e-15
694,6.950000000000001e-10,1.8134384065638036e-15
695,6.960000000000001e-10,1.7622358994914584e-15
696,6.970000000000001e-10,1.7979488681300906e-15
697,6.980000000000001e-10,1.7590114909595691e-15
698,6.990000000000001e-10,1.7533519838880045e-15
699,7.000000000000001e-10,1.7654009836040186e-15
700,7.010000000000001e-10,1.7375438869224528e-15
701,7.020000000000001e-10,1.7428445257517244e-15
702,7.030000000000001e-10,1.7468240802408281e-15
703,7.04e-10,1.7596282075892216e-15
704,7.05e-10,1.7592738024276476e-15
705,7.06e-10,1.7756783920319193e-15
706,7.07e-10,1.7784005368310714e-15
707,7.08e-10,1.7672405218887119e-15
708,7.09e-10,1.7347708577050595e-15
709,7.1e-10,1.7234355308180494e-15
710,7.11e-10,1.7778723073176333e-15
711,7.12e-10,1.7299008371153217e-15
712,7.13e-10,1.753866218933795e-15
713,7.14e-10,1.7707559734864995e-15
714,7.15e-10,1.7343627323540993e-15
715,7.16e-10,1.774946917240665e-15
716,7.17e-10,1.775072298788243e-15
717,7.180000000000001e-10,1.80029454879134e-15
718,7.190000000000001e-10,1.7541237002422053e-15
719,7.200000000000001e-10,1.7801493209051414e-15
720,7.210000000000001e-10,1.781890471384066e-15
721,7.220000000000001e-10,1.7976737299862766e-15
722,7.230000000000001e-10,1.7945481947567274e-15
723,7.240000000000001e-10,1.79363039608217e-15
724,7.250000000000001e-10,1.80362455923559e-15
725,7.260000000000001e-10,1.7711522881528273e-15
726,7.270000000000001e-10,1.7757446325491864e-15
727,7.280000000000001e-10,1.7426888803419157e-15
728,7.290000000000001e-10,1.7422805664647892e-15
729,7.300000000000001e-10,1.7351087027603741e-15
730,7.310000000000001e-10,1.718688098329359e-15
731,7.320000000000001e-10,1.7508867721687803e-15
732,7.330000000000001e-10,1.7465734226292703e-15
733,7.34e-10,1.7599307481727738e-15
734,7.35e-10,1.7655907825279123e-15
735,7.36e-10,1.7178076755493194e-15
736,7.37e-10,1.758544335488201e-15
737,7.38e-10,1.7444417840856357e-15
738,7.39e-10,1.7308076301130136e-15
739,7.4e-10,1.7129186240324795e-15
740,7.41e-10,1.7276652175213026e-15
741,7.42e-10,1.6843930013418343e-15
742,7.43e-10,1.7259463151067724e-15
743,7.44e-10,1.7720765214384871e-15
744,7.45e-10,1.764204617659329e-15
745,7.46e-10,1.792582668440138e-15
746,7.470000000000001e-10,1.8384127228498083e-15
747,7.480000000000001e-10,1.8046423300289284e-15
748,7.490000000000001e-10,1.7677285902204072e-15
749,7.500000000000001e-10,1.8221560342046645e-15
750,7.510000000000001e-10,1.7682865417168627e-15
751,7.520000000000001e-10,1.7625106809781005e-15
